objectid,title,filename,collection,location,longitude,latitude,agent,date,idnumber,catalogrecord,collectionnum,worktype,materials,subject,description,measurement,source,bibliography,citeas,repository,collectionprogram,archcoll,box,folder,format,rights
obj1,Fragment in Greek from the Gospel of Matthew 21:1-19 describing the entrance of Jesus into Jerusalem (front),https://stor.artstor.org/stor/5ec921f6-9858-4137-82a0-0d33acd80fd2_size2,Images from the Rare Book and Manuscript Collections,"Ithaca, NY",-76.501884,42.443962,Unknown,1100-1300,RMC2019_0182,4916228,6532,"Medieval
fragments",,"Bible
Bible--Manuscripts
Bible. New Testament. Greek--Versions",,,Medieval Manuscript Fragments #6532. Division of Rare and Manuscript Collections Cornell University Library. n.d.,,Medieval Manuscript Fragments #6532. Division of Rare and Manuscript Collections Cornell University Library.,Division of Rare and Manuscript Collections_Cornell University Library,,Medieval manuscript fragments,Mapcase-B-13,Mapcase Folder 1,image/jpeg,Presumed to be in the public domain because of creation date.
obj2,Fragment in Greek from the Gospel of Matthew 21:1-19 describing the entrance of Jesus into Jerusalem (back),https://stor.artstor.org/stor/70d54476-3988-4fff-8c25-6895f1e0f97f_size2,Images from the Rare Book and Manuscript Collections,"Ithaca, NY",-76.501884,42.443962,Unknown,1100-1300,RMC2019_0183,4916228,6532,"Medieval
fragments",,"Bible
Bible--Manuscripts
Bible. New Testament. Greek--Versions",,,Medieval Manuscript Fragments #6532. Division of Rare and Manuscript Collections Cornell University Library. n.d.,,Medieval Manuscript Fragments #6532. Division of Rare and Manuscript Collections Cornell University Library.,Division of Rare and Manuscript Collections_Cornell University Library,,Medieval manuscript fragments,Mapcase-B-13,Mapcase Folder 1,image/jpeg,Presumed to be in the public domain because of creation date.
obj3,Parchment fragment on f. 200v,https://stor.artstor.org/stor/ad64a8e5-2d24-44ca-9a61-7c6d19d5575f_size2,Images from the Rare Book and Manuscript Collections,"Ferrara, Italy",11.619787,44.8392,,1323-1350,RMC2009_0163,3978609,,parchment,,Catholic Church --Liturgy --Texts --Manuscripts,,,Ordo manualis [Ferrariensis Ecclesiae],f. 200v,,Division of Rare and Manuscript Collections_Cornell University Library,Manuscripts,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu"
obj4,Parchment fragment on f. 239v,https://stor.artstor.org/stor/4bde5cc9-61db-4cbd-88de-7c60cf47f15b_size2,Images from the Rare Book and Manuscript Collections,"Ferrara, Italy",11.619787,44.8392,,1323-1350,RMC2009_0165,3978609,,parchment,,Catholic Church --Liturgy --Texts --Manuscripts,,,Ordo manualis [Ferrariensis Ecclesiae],f. 239v,,Division of Rare and Manuscript Collections_Cornell University Library,Manuscripts,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu"
obj5,Parchment fragment on f. 238v,https://stor.artstor.org/stor/640067dc-1152-48a2-8e7e-87e6fb120918_size2,Images from the Rare Book and Manuscript Collections,"Ferrara, Italy",11.619787,44.8392,,1323-1350,RMC2009_0164,3978609,,parchment,,Catholic Church --Liturgy --Texts --Manuscripts,,,Ordo manualis [Ferrariensis Ecclesiae],f. 238v,,Division of Rare and Manuscript Collections_Cornell University Library,Manuscripts,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu"
obj6,Parchment fragment on f. 167,https://stor.artstor.org/stor/a1fe701b-bfb5-4e09-b737-8950401914d3_size2,Images from the Rare Book and Manuscript Collections,"Ferrara, Italy",11.619787,44.8392,,1323-1350,RMC2009_0166,3978609,,parchment,,Catholic Church --Liturgy --Texts --Manuscripts,,,Ordo manualis [Ferrariensis Ecclesiae],f. 167,,Division of Rare and Manuscript Collections_Cornell University Library,Manuscripts,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu"
obj7,Parchment fragment on f. 172v,https://stor.artstor.org/stor/6f820ebe-cff3-42c9-9225-76061077c7be_size2,Images from the Rare Book and Manuscript Collections,"Ferrara, Italy",11.619787,44.8392,,1323-1350,RMC2009_0162,3978609,,parchment,,Catholic Church --Liturgy --Texts --Manuscripts,,,Ordo manualis [Ferrariensis Ecclesiae],f. 172v,,Division of Rare and Manuscript Collections_Cornell University Library,Manuscripts,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu"
obj8,Parchment fragment on f. 64v,https://stor.artstor.org/stor/0b1455bb-9296-417c-8e07-d67fe2986a69_size2,Images from the Rare Book and Manuscript Collections,"Ferrara, Italy",11.619787,44.8392,,1323-1350,RMC2009_0156,3978609,,parchment,,Catholic Church --Liturgy --Texts --Manuscripts,,,Ordo manualis [Ferrariensis Ecclesiae],f. 64v,,Division of Rare and Manuscript Collections_Cornell University Library,Manuscripts,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu"
obj9,Parchment fragment on f. 166,https://stor.artstor.org/stor/895acfc6-317a-48df-af01-24c2779bd852_size2,Images from the Rare Book and Manuscript Collections,"Ferrara, Italy",11.619787,44.8392,,1323-1350,RMC2009_0160,3978609,,parchment,,Catholic Church --Liturgy --Texts --Manuscripts,,,Ordo manualis [Ferrariensis Ecclesiae],f. 166,,Division of Rare and Manuscript Collections_Cornell University Library,Manuscripts,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu"
obj10,Parchment fragment on f. 66v,https://stor.artstor.org/stor/6f7ad2b5-6e74-4782-8272-4b9e414fb3fc_size2,Images from the Rare Book and Manuscript Collections,"Ferrara, Italy",11.619787,44.8392,,1323-1350,RMC2009_0158,3978609,,parchment,,Catholic Church --Liturgy --Texts --Manuscripts,,,Ordo manualis [Ferrariensis Ecclesiae],f. 66v,,Division of Rare and Manuscript Collections_Cornell University Library,Manuscripts,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu"
